,cc_num,category,amt,gender,is_fraud,age,trans_month,trans_year,lat_dis,long_dis
0,2.70319E+15,misc_net,4.97,0,0,30,1,2019,0.067507,0.870215
1,6.30423E+11,grocery_pos,107.23,0,0,40,1,2019,0.271247,0.024038
2,3.88595E+13,entertainment,220.11,1,0,56,1,2019,0.969904,0.107519
3,3.53409E+15,gas_transport,45,1,0,52,1,2019,0.803731,0.447271
4,3.75534E+14,misc_pos,41.96,1,0,32,1,2019,0.254299,0.830441
5,4.76727E+15,gas_transport,94.63,0,0,57,1,2019,0.278382,0.948167
6,3.00747E+13,grocery_net,44.54,0,0,25,1,2019,0.830395,0.83593
7,6.01136E+15,gas_transport,71.65,1,0,71,1,2019,0.104889,0.060004
8,4.92271E+15,misc_pos,4.27,0,0,77,1,2019,0.015913,0.297446
9,2.72083E+15,grocery_pos,198.39,0,0,44,1,2019,0.657198,0.136381
10,4.64289E+12,grocery_pos,24.74,1,0,28,1,2019,0.473209,0.973548
11,3.77234E+14,shopping_net,7.77,0,0,52,1,2019,0.732266,0.801559
12,1.80043E+14,grocery_pos,71.22,1,0,29,1,2019,0.159207,0.415409
13,5.55986E+15,grocery_pos,96.29,1,0,73,1,2019,0.04502,0.295453
14,3.51487E+15,shopping_pos,7.77,1,0,51,1,2019,0.076342,0.701305
15,6.012E+15,shopping_net,3.26,1,0,53,1,2019,0.839374,0.355559
16,6.01186E+15,misc_net,327,0,0,66,1,2019,0.000908,0.975772
17,3.56542E+15,shopping_pos,341.67,1,0,80,1,2019,0.301809,0.939067
18,2.34825E+15,food_dining,63.07,1,0,72,1,2019,0.746426,0.449047
19,4.95683E+18,grocery_pos,44.71,1,0,38,1,2019,0.595112,0.624187
20,4.46978E+18,grocery_pos,57.34,1,0,38,1,2019,0.45924,0.036297
21,2.30534E+15,gas_transport,50.79,1,0,57,1,2019,0.49767,0.728185
22,1.80048E+14,grocery_net,46.28,0,0,44,1,2019,0.593312,0.186812
23,6.30442E+11,shopping_pos,9.55,0,0,53,1,2019,0.33075,0.355375
24,4.42878E+18,shopping_pos,22.95,1,0,73,1,2019,0.375741,0.835465
25,3.43464E+14,misc_net,2.55,0,0,56,1,2019,0.94267,0.58867
26,3.7493E+14,grocery_pos,64.09,1,0,47,1,2019,0.140126,0.194016
27,4.33423E+15,misc_pos,6.85,1,0,51,1,2019,0.736535,0.425723
28,4.22599E+18,grocery_pos,90.22,1,0,52,1,2019,0.522687,0.557889
29,4.26006E+15,shopping_pos,4.02,1,0,73,1,2019,0.33061,0.644346
30,1.80095E+14,shopping_net,3.66,0,0,57,1,2019,0.520691,0.665839
31,4.59974E+18,grocery_pos,82.8,0,0,54,1,2019,0.090395,0.346382
32,6.30413E+11,shopping_pos,66.21,0,0,54,1,2019,0.044038,0.522863
33,2.71221E+15,misc_pos,25.58,0,0,41,1,2019,0.669174,0.293606
34,3.74125E+14,shopping_pos,9.03,1,0,48,1,2019,0.094802,0.587084
35,3.49613E+14,grocery_pos,99,1,0,34,1,2019,0.281055,0.33044
36,3.59822E+15,grocery_pos,207.36,0,0,48,1,2019,0.470362,0.322712
37,2.13142E+14,misc_pos,181.35,0,0,34,1,2019,0.213188,0.604509
38,3.05612E+13,gas_transport,82.22,0,0,20,1,2019,0.002862,0.337749
39,4.78991E+15,grocery_pos,221.81,0,0,30,1,2019,0.797541,0.228092
40,6.76373E+11,gas_transport,53.6,0,0,31,1,2019,0.576319,0.616762
41,3.00115E+13,misc_pos,54.02,0,0,47,1,2019,0.307817,0.510876
42,4.64226E+15,gas_transport,102.13,0,0,31,1,2019,0.807413,0.266706
43,3.00747E+13,grocery_pos,212.75,0,0,25,1,2019,0.869083,0.244787
44,1.80068E+14,grocery_pos,130.4,0,0,77,1,2019,0.702231,0.002336
45,2.13127E+14,grocery_pos,91.16,1,0,47,1,2019,0.073453,0.318311
46,2.26674E+15,gas_transport,55.78,1,0,46,1,2019,0.760078,0.217128
47,3.55363E+15,grocery_pos,83.07,0,0,34,1,2019,0.342111,0.374304
48,3.51106E+15,shopping_net,4.38,0,0,59,1,2019,0.101436,0.862262
49,4.11027E+18,grocery_pos,130.89,0,0,32,1,2019,0.038947,0.310982
50,4.26578E+15,grocery_pos,103,0,0,65,1,2019,0.174415,0.13071
51,3.58379E+15,grocery_net,50.82,0,0,48,1,2019,0.005665,0.08093
52,2.13194E+14,gas_transport,60.77,1,0,24,1,2019,0.431801,0.669543
53,60495593109,food_dining,122.86,1,0,76,1,2019,0.487676,0.71883
54,4.72584E+18,grocery_pos,212.45,0,0,24,1,2019,0.515674,0.005432
55,3.04043E+13,misc_pos,7.33,0,0,25,1,2019,0.1265,0.949223
56,2.13179E+14,gas_transport,70.53,1,0,42,1,2019,0.214352,0.534967
57,2.35628E+15,grocery_pos,58.26,1,0,37,1,2019,0.282662,0.428532
58,3.56874E+15,grocery_net,50.45,1,0,44,1,2019,0.034727,0.134811
59,4.64226E+15,misc_net,177.57,0,0,31,1,2019,0.580469,0.234748
60,4.50914E+15,shopping_pos,8.57,0,0,92,1,2019,0.374402,0.38525
61,3.54756E+15,gas_transport,56.66,1,0,52,1,2019,0.51791,0.04589
62,4.43309E+15,grocery_net,75.34,0,0,82,1,2019,0.416207,0.687668
63,2.72043E+15,gas_transport,62.54,1,0,21,1,2019,0.472077,0.483759
64,4.71656E+15,grocery_pos,92.84,0,0,46,1,2019,0.802453,0.68678
65,3.53692E+15,misc_net,2.76,0,0,63,1,2019,0.218052,0.254846
66,3.52567E+15,shopping_net,101.35,1,0,28,1,2019,0.448791,0.712509
67,4.70787E+15,misc_net,303.47,0,0,51,1,2019,0.361597,0.669517
68,4.66631E+18,shopping_net,83.52,1,0,44,1,2019,0.031159,0.072518
69,2.24874E+15,shopping_pos,9.97,1,0,56,1,2019,0.565874,0.999547
70,4.51283E+18,grocery_net,16.16,0,0,35,1,2019,0.670857,0.946501
71,3.50151E+15,grocery_pos,59.56,1,0,40,1,2019,0.317219,0.615191
72,3.0273E+13,gas_transport,57.23,1,0,18,1,2019,0.568695,0.734272
73,3.55888E+15,shopping_pos,317.14,1,0,61,1,2019,0.011824,0.732895
74,3.04876E+13,grocery_pos,127.88,0,0,64,1,2019,0.763981,0.601096
75,5.71465E+11,shopping_net,113.4,1,0,42,1,2019,0.135835,0.39305
76,3.78006E+14,shopping_net,94.53,1,0,37,1,2019,0.66274,0.998534
77,3.41283E+14,shopping_pos,1.82,1,0,83,1,2019,0.994666,0.492569
78,4.48113E+12,gas_transport,75.77,1,0,43,1,2019,0.604456,0.167607
79,4.68726E+12,grocery_pos,108.59,0,0,41,1,2019,0.97743,0.282894
80,5.45678E+15,gas_transport,48.68,0,0,64,1,2019,0.809302,0.085173
81,4.98113E+12,gas_transport,72.35,1,0,72,1,2019,0.703202,0.728425
82,6.01189E+15,misc_pos,218.71,0,0,43,1,2019,0.264229,0.901518
83,6.53463E+15,gas_transport,52.59,0,0,20,1,2019,0.750208,0.528071
84,3.76028E+14,grocery_pos,89.11,1,0,44,1,2019,0.993806,0.480143
85,5.71365E+11,grocery_net,89.35,0,0,23,1,2019,0.031258,0.909794
86,3.51876E+15,grocery_pos,50.68,1,0,29,1,2019,0.085159,0.673244
87,5.45678E+15,gas_transport,64.47,0,0,64,1,2019,0.978436,0.017982
88,3.57758E+15,grocery_net,63.58,0,0,35,1,2019,0.7201,0.18827
89,2.13112E+14,gas_transport,81.85,0,0,34,1,2019,0.204127,0.559776
90,3.59233E+15,gas_transport,59.7,0,0,83,1,2019,0.324823,0.345054
91,4.68352E+15,gas_transport,90.54,1,0,23,1,2019,0.924015,0.512497
92,3.50209E+15,grocery_pos,50.57,1,0,42,1,2019,0.635192,0.641384
93,1.80048E+14,misc_net,3.79,0,0,44,1,2019,0.198469,0.868465
94,6.51135E+15,grocery_net,54.54,1,0,72,1,2019,0.64938,0.99009
95,4.19847E+12,misc_net,3.35,0,0,47,1,2019,0.430792,0.458332
96,4.42349E+15,gas_transport,50.61,1,0,61,1,2019,0.658516,0.954428
97,3.51823E+15,grocery_net,50.74,0,0,48,1,2019,0.629741,0.091268
98,6.59325E+15,grocery_pos,186.73,0,0,42,1,2019,0.871709,0.77789
99,6.01149E+15,grocery_net,39.95,1,0,32,1,2019,0.311323,0.841282
100,6.59325E+15,gas_transport,55.18,0,0,42,1,2019,0.607733,0.199563
101,4.14924E+15,grocery_pos,92.99,1,0,29,1,2019,0.605282,0.301074
102,6.39046E+11,misc_pos,43.02,1,0,32,1,2019,0.853764,0.252637
103,2.23561E+15,gas_transport,51.33,0,0,38,1,2019,0.221752,0.64241
104,5.10481E+15,misc_pos,47.85,0,0,40,1,2019,0.116815,0.522778
105,1.8004E+14,shopping_pos,9.23,0,0,61,1,2019,0.625242,0.936424
106,4.12977E+15,gas_transport,80.36,0,0,46,1,2019,0.74554,0.167196
107,4.01811E+18,misc_net,6.36,0,0,83,1,2019,0.310144,0.232285
108,4.47432E+15,shopping_net,226.33,1,0,91,1,2019,0.957511,0.588059
109,3.03762E+13,shopping_net,215.99,0,0,90,1,2019,0.163724,0.535922
110,3.4879E+14,misc_net,1.47,0,0,68,1,2019,0.69066,0.73382
111,1.80014E+14,entertainment,5.83,0,0,60,1,2019,0.227954,0.061057
112,2.2608E+15,shopping_net,51.04,0,0,92,1,2019,0.358363,0.251662
113,4.97942E+15,grocery_pos,122.05,0,0,83,1,2019,0.189764,0.265876
